week,player,mentions,sent_mean,sent_pos_share
0,Bobby Witt,58,0.12459482758620691,0.3103448275862069
0,Caitlin Clark,77,0.2529779220779221,0.4935064935064935
0,Cooper Flagg,133,0.19232631578947368,0.42857142857142855
0,Dylan Harper,136,0.21979338235294119,0.41911764705882354
0,Jayson Tatum,69,0.16095797101449277,0.391304347826087
0,LeBron James,55,0.22772363636363638,0.43636363636363634
0,Luka Doncic,106,0.2284047169811321,0.49056603773584906
0,Mike Trout,80,0.22685499999999997,0.4125
0,Paige Bueckers,50,0.228946,0.5
0,Paul Skenes,68,0.2571735294117647,0.4852941176470588
0,Roman Anthony,85,0.15060823529411765,0.4117647058823529
0,Ronald Acuna,43,0.17839302325581397,0.4418604651162791
0,Shohei Ohtani,162,0.13923333333333335,0.345679012345679
0,Stephen Curry,47,0.27567021276595743,0.46808510638297873
0,Victor Wembanyama,91,0.22666153846153847,0.4725274725274725
1,Bobby Witt,58,0.1373655172413793,0.3448275862068966
1,Caitlin Clark,71,0.17365070422535211,0.38028169014084506
1,Cooper Flagg,182,0.24215164835164837,0.5
1,Dylan Harper,160,0.266275625,0.525
1,Jayson Tatum,78,0.25273333333333337,0.4358974358974359
1,LeBron James,83,0.18874457831325303,0.40963855421686746
1,Luka Doncic,147,0.19055986394557822,0.43537414965986393
1,Mike Trout,110,0.19661818181818183,0.43636363636363634
1,Paige Bueckers,70,0.0891957142857143,0.2857142857142857
1,Paul Skenes,93,0.24659032258064517,0.4731182795698925
1,Roman Anthony,111,0.21734414414414413,0.45045045045045046
1,Ronald Acuna,88,0.15505227272727273,0.4090909090909091
1,Shohei Ohtani,170,0.21671411764705883,0.4411764705882353
1,Stephen Curry,56,0.24368571428571428,0.4642857142857143
1,Victor Wembanyama,118,0.0890686440677966,0.3728813559322034
2,Bobby Witt,56,0.21686607142857145,0.42857142857142855
2,Caitlin Clark,80,0.2112975,0.4875
2,Cooper Flagg,121,0.19681818181818184,0.4049586776859504
2,Dylan Harper,131,0.21886335877862595,0.45038167938931295
2,Jayson Tatum,66,0.23835757575757577,0.4696969696969697
2,LeBron James,52,0.1982326923076923,0.40384615384615385
2,Luka Doncic,102,0.19036176470588237,0.4117647058823529
2,Mike Trout,74,0.13094864864864866,0.3783783783783784
2,Paige Bueckers,44,0.20094545454545454,0.4772727272727273
2,Paul Skenes,86,0.1787186046511628,0.3953488372093023
2,Roman Anthony,66,0.14253181818181818,0.3484848484848485
2,Ronald Acuna,54,0.19122407407407407,0.42592592592592593
2,Shohei Ohtani,135,0.14852296296296297,0.34074074074074073
